TRUE,6/7/2015,11.30,11.40,11.20,75889862
ZMICO,6/7/2015,1.38,1.39,1.37,540700
YUASA,6/7/2015,7.85,8.05,7.85,41000
XO,6/7/2015,4.96,5.00,4.96,1188200
WORK,6/7/2015,37.25,38.00,36.75,905786
WIN,6/7/2015,0.89,0.90,0.88,1440600
WHAPF,6/7/2015,10.80,11.00,10.80,21000
WHA,6/7/2015,3.80,3.86,3.80,24773967
WG,6/7/2015,148.00,148.00,145.00,5200
WACOAL,6/7/2015,49.75,49.75,49.75,3000
VTE,6/7/2015,3.76,3.84,3.76,4431900
VPO,6/7/2015,2.04,2.08,2.00,528300
VNT,6/7/2015,10.00,10.50,10.00,244500
VNG,6/7/2015,10.70,10.70,9.90,27239300
VIH,6/7/2015,6.00,6.05,6.00,408867
VIBHA,6/7/2015,1.53,1.56,1.53,6949610
VGI,6/7/2015,4.90,5.00,4.88,17095566
UWC,6/7/2015,0.71,0.76,0.71,363791096
UVAN,6/7/2015,10.50,10.50,10.50,20100
UV,6/7/2015,7.60,7.80,7.60,565700
UTP,6/7/2015,4.16,4.20,4.12,192100
UREKA,6/7/2015,1.24,1.27,1.20,4920500
UPOIC,6/7/2015,7.65,7.75,7.65,4800
UOB8TF,6/7/2015,8.60,8.60,8.60,2000
UNIQ,6/7/2015,16.90,16.90,16.30,7592762
UMS,6/7/2015,9.50,10.40,9.45,659100
UMI,6/7/2015,5.80,6.10,5.75,3225100
UKEM,6/7/2015,1.19,1.20,1.19,916300
UEC,6/7/2015,3.50,3.56,3.48,274000
UBIS,6/7/2015,6.75,6.95,6.75,179300
UAC,6/7/2015,7.30,7.40,7.25,970263
U,6/7/2015,0.04,0.05,0.04,181508120
TWZ,6/7/2015,0.35,0.37,0.35,18050400
TWP,6/7/2015,51.75,52.50,51.75,34100
TVT,6/7/2015,2.80,2.86,2.70,22514500
TVO,6/7/2015,22.30,22.50,22.30,721900
TVI,6/7/2015,6.25,6.45,6.25,240001
TVD,6/7/2015,2.28,2.34,2.26,1659319
TUF,6/7/2015,20.30,20.80,20.20,4506584
TTW,6/7/2015,11.20,11.30,11.20,1217932
TTCL,6/7/2015,29.75,30.25,29.75,501200
TTA,6/7/2015,12.40,12.60,12.40,3491439
TSTH,6/7/2015,0.75,0.77,0.75,697700
TSR,6/7/2015,7.25,7.50,7.25,469866
TSF,6/7/2015,0.25,0.25,0.24,12878961
TSE,6/7/2015,6.45,6.60,6.35,6769100
TRUEIF,6/7/2015,12.30,12.30,12.20,9872200
TRUBB,6/7/2015,1.86,1.89,1.83,1517950
TRU,6/7/2015,4.56,4.56,4.50,8200
TRT,6/7/2015,5.40,5.55,5.40,607900
TRC,6/7/2015,2.14,2.18,2.12,27390674
TR,6/7/2015,24.20,24.50,24.20,3300
TPP,6/7/2015,29.50,29.75,29.00,15400
TPOLY,6/7/2015,5.85,5.85,5.15,11261245
TPIPL,6/7/2015,2.88,3.02,2.88,392919176
TREIT,6/7/2015,10.30,10.40,10.30,231500
TPCH,6/7/2015,21.70,21.70,21.10,3378150
TPC,6/7/2015,29.00,29.50,29.00,20500
TOP,6/7/2015,53.75,54.50,53.50,5335437
TOG,6/7/2015,5.65,5.65,5.55,70500
TNPC,6/7/2015,2.30,2.70,2.30,10777896
TNITY,6/7/2015,7.15,7.20,7.10,161268
TNH,6/7/2015,18.50,18.60,18.40,131900
TNDT,6/7/2015,14.70,14.90,14.70,98000
TMW,6/7/2015,29.75,30.25,29.25,55100
TMT,6/7/2015,8.60,8.65,8.60,25300
TMI,6/7/2015,1.71,1.75,1.63,4027275
TMB,6/7/2015,2.26,2.30,2.24,126894496
TLUXE,6/7/2015,8.15,8.15,8.05,924900
TLOGIS,6/7/2015,12.40,12.50,12.40,33600
TLGF,6/7/2015,13.50,13.50,13.40,439652
