id,first_name,last_name,abbr,first_name,last_name,Birthdate
1,Arizona,Cardinals,ARI,Bruce,Arians,1952-10-03
2,Atlanta,Falcons,ATL,Mike,Smith,1959-06-13
3,Baltimore,Ravens,BAL,John,Harbaugh,1962-09-23
4,Buffalo,Bills,BUF,Doug,Marrone,1964-07-25
5,Carolina,Panthers,CAR,Ron,Rivera,1962-01-07
6,Chicago,Bears,CHI,Marc,Trestman,1956-01-15
7,Cincinnati,Bengals,CIN,Marvin,Lewis,1958-09-23
8,Cleveland,Browns,CLE,Rob,Chudzinski,1968-05-12
9,Dallas,Cowboys,DAL,Jason,Garrett,1966-03-28
10,Denver,Broncos,DEN,John,Fox,1955-02-08
11,Detroit,Lions,DET,Jim,Schwartz,1966-06-02
12,Green Bay,Packers,GB,Mike,McCarthy,1963-11-10
13,Houston,Texans,HOU,Gary,Kubiak,1961-08-15
14,Indianapolis,Colts,IND,Chuck,Pagano,1960-10-02
15,Jacksonville,Jaguars,JAC,Gus,Bradley,1966-07-05
16,Kansas City,Chiefs,KC,Andy,Reid,1958-03-19
17,Miami,Dolphins,MIA,Joe,Phibin,1961-07-02
18,Minnesota,Vikings,MIN,Leslie,Frazier,1959-04-03
19,New England,Patriots,NE,Bill,Belichik,1952-04-16
20,New Orleans,Saints,NO,Sean,Payton,1963-12-29
21,New York,Jets,NYJ,Rex,Ryan,1962-12-13
22,New York,Giants,NYG,Tom,Coughlin,1946-08-31
23,Oakland,Raiders,OAK,Dennis,Allen,1972-09-22
24,Philadelphia,Eagles,PHI,Chip,Kelly,1963-11-25
25,Pittsburgh,Steelers,PIT,Mike,Tomlin,1972-03-15
26,San Diego,Chargers,SD,Mike,McCoy,1972-04-01
27,San Francisco,49ers,SF,Jim,Harbaugh,1963-12-23
28,Seattle,Seahawks,SEA,Pete,Carroll,1951-09-15
29,St. Louis,Rams,STL,Jeff,Fisher,1958-02-25
30,Tampa Bay,Buccaneers,TB,Greg,Schiano,1966-06-01
31,Tennessee,Titans,TEN,Mike,Munchak,1960-03-06
32,Washington,Redskins,WSH,Mike,Shanahan,1952-08-24
